year,month,day,temperature,_id
2015,3,18,+2,5e7ac44493d299b2e849d10b
2015,3,19,+3,5e7ac44493d299b2e849d10c
2015,3,20,+2,5e7ac44493d299b2e849d10d
2015,3,21,+4,5e7ac44493d299b2e849d10e
2015,3,22,+1,5e7ac44493d299b2e849d10f
2015,3,23,+3,5e7ac44493d299b2e849d110
2015,3,24,+2,5e7ac44493d299b2e849d111
2015,3,25,+3,5e7ac44493d299b2e849d112
2015,3,26,+6,5e7ac44493d299b2e849d113
2015,3,27,+7,5e7ac44493d299b2e849d114
2015,3,28,+4,5e7ac44493d299b2e849d115
2015,3,29,+4,5e7ac44493d299b2e849d116
2015,3,30,+5,5e7ac44493d299b2e849d117
2015,3,31,+4,5e7ac44493d299b2e849d118
2015,4,1,+4,5e7ac44493d299b2e849d119
2015,4,2,+5,5e7ac44493d299b2e849d11a
2015,4,3,+5,5e7ac44493d299b2e849d11b
2015,4,4,-2,5e7ac44493d299b2e849d11c
2015,4,5,-4,5e7ac44493d299b2e849d11d
2015,4,6,-1,5e7ac44493d299b2e849d11e
2015,4,7,-2,5e7ac44493d299b2e849d11f
2015,4,8,+2,5e7ac44493d299b2e849d120
2015,4,9,+1,5e7ac44493d299b2e849d121
2015,4,10,+2,5e7ac44493d299b2e849d122
2015,4,11,0,5e7ac44493d299b2e849d123
2015,4,13,+8,5e7ac44493d299b2e849d124
2015,4,14,+14,5e7ac44493d299b2e849d125
2015,4,15,+9,5e7ac44493d299b2e849d126
2015,4,16,+15,5e7ac44493d299b2e849d127
2015,4,17,0,5e7ac44493d299b2e849d128
2015,4,18,+8,5e7ac44493d299b2e849d129
2015,4,19,+8,5e7ac44493d299b2e849d12a
2015,4,20,+12,5e7ac44493d299b2e849d12b
2015,4,21,+4,5e7ac44493d299b2e849d12c
2015,4,22,+8,5e7ac44493d299b2e849d12d
2015,4,23,+9,5e7ac44493d299b2e849d12e
2015,4,24,+8,5e7ac44493d299b2e849d12f
2015,4,25,+14,5e7ac44493d299b2e849d130
2015,4,26,+9,5e7ac44493d299b2e849d131
2015,4,27,+15,5e7ac44493d299b2e849d132
2015,4,28,+19,5e7ac44493d299b2e849d133
2015,4,29,+16,5e7ac44493d299b2e849d134
2015,4,30,+21,5e7ac44493d299b2e849d135
2015,5,1,+14,5e7ac44493d299b2e849d136
2015,5,2,+15,5e7ac44493d299b2e849d137
2015,5,3,+16,5e7ac44493d299b2e849d138
2015,5,4,+7,5e7ac44493d299b2e849d139
2015,5,5,+3,5e7ac44493d299b2e849d13a
2015,5,6,+5,5e7ac44493d299b2e849d13b
2015,5,7,+6,5e7ac44493d299b2e849d13c
2015,5,8,+10,5e7ac44493d299b2e849d13d
2015,5,9,+15,5e7ac44493d299b2e849d13e
2015,5,10,+24,5e7ac44493d299b2e849d13f
2015,5,11,+20,5e7ac44493d299b2e849d140
2015,5,13,+13,5e7ac44493d299b2e849d141
2015,5,14,+14,5e7ac44493d299b2e849d142
2015,5,15,+10,5e7ac44493d299b2e849d143
2015,5,16,+12,5e7ac44493d299b2e849d144
2015,5,17,+12,5e7ac44493d299b2e849d145
2015,5,18,+16,5e7ac44493d299b2e849d146
2015,5,19,+8,5e7ac44493d299b2e849d147
2015,5,20,+12,5e7ac44493d299b2e849d148
2015,5,21,+13,5e7ac44493d299b2e849d149
2015,5,22,+17,5e7ac44493d299b2e849d14a
2015,5,23,+17,5e7ac44493d299b2e849d14b
2015,5,24,+14,5e7ac44493d299b2e849d14c
2015,5,25,+17,5e7ac44493d299b2e849d14d
2015,5,26,+21,5e7ac44493d299b2e849d14e
2015,5,27,+22,5e7ac44493d299b2e849d14f
2015,5,28,+22,5e7ac44493d299b2e849d150
2015,5,29,+22,5e7ac44493d299b2e849d151
2015,5,30,+20,5e7ac44493d299b2e849d152
2015,5,31,+20,5e7ac44493d299b2e849d153
2015,6,1,+12,5e7ac44493d299b2e849d154
